,日期,AQI
641,2019-10-05,19.854
642,2019-10-06,36.486
643,2019-10-07,56.37
644,2019-10-08,26.173
645,2019-10-09,52.909
646,2019-10-10,62.867
647,2019-10-11,69.307
648,2019-10-12,59.533
649,2019-10-13,48.12
650,2019-10-14,25.999
651,2019-10-15,35.853
652,2019-10-16,46.119
653,2019-10-17,71.671
654,2019-10-18,76.296
655,2019-10-19,153.033
656,2019-10-20,139.188
657,2019-10-21,50.829
658,2019-10-22,75.402
659,2019-10-23,104.894
660,2019-10-24,97.725
661,2019-10-25,23.556
662,2019-10-26,50.065
663,2019-10-27,75.505
664,2019-10-28,99.442
665,2019-10-29,64.74
666,2019-10-30,87.795
667,2019-10-31,70.022
668,2019-11-01,63.347
669,2019-11-02,52.552
670,2019-11-03,53.924
671,2019-11-04,72.047
672,2019-11-05,69.163
673,2019-11-06,70.993
674,2019-11-07,51.281
675,2019-11-08,64.521
676,2019-11-09,118.888
677,2019-11-10,81.689
678,2019-11-11,51.65
679,2019-11-12,79.39
680,2019-11-13,50.059
681,2019-11-14,54.869
682,2019-11-15,67.484
683,2019-11-16,70.518
684,2019-11-17,141.208
685,2019-11-18,74.268
686,2019-11-19,55.506
687,2019-11-20,90.785
688,2019-11-21,121.428
689,2019-11-22,179.082
690,2019-11-23,183.908
691,2019-11-24,34.927
692,2019-11-25,31.702
693,2019-11-26,65.431
694,2019-11-27,28.824
695,2019-11-28,61.023
696,2019-11-29,81.609
697,2019-11-30,82.908
698,2019-12-01,32.953
699,2019-12-02,28.742
700,2019-12-03,46.945
701,2019-12-04,38.336
702,2019-12-05,41.866
703,2019-12-06,75.638
704,2019-12-07,78.04
705,2019-12-08,181.36
706,2019-12-09,218.452
707,2019-12-10,136.457
708,2019-12-11,31.56
709,2019-12-12,40.684
710,2019-12-13,48.156
711,2019-12-14,33.71
712,2019-12-15,71.941
713,2019-12-16,95.497
714,2019-12-17,26.462
715,2019-12-18,33.427
716,2019-12-19,29.577
717,2019-12-20,37.831
718,2019-12-21,68.426
719,2019-12-22,92.297
720,2019-12-23,75.032
721,2019-12-24,111.077
722,2019-12-25,86.83
723,2019-12-26,45.007
724,2019-12-27,72.45
725,2019-12-28,108.252
726,2019-12-29,131.625
727,2019-12-30,35.903
728,2019-12-31,38.656
729,2020-01-01,57.165
730,2020-01-02,77.226
731,2020-01-03,79.89
732,2020-01-04,72.313
733,2020-01-05,85.817
734,2020-01-06,81.81
735,2020-01-07,26.386
736,2020-01-08,33.824
737,2020-01-09,58.789
738,2020-01-10,58.871
739,2020-01-11,25.206
740,2020-01-12,37.148
741,2020-01-13,24.816
742,2020-01-14,30.559
743,2020-01-15,70.342
744,2020-01-16,76.653
745,2020-01-17,102.447
746,2020-01-18,219.057
747,2020-01-19,72.376
748,2020-01-20,30.916
749,2020-01-21,60.896
750,2020-01-22,92.167
751,2020-01-23,87.977
752,2020-01-24,114.856
753,2020-01-25,201.725
754,2020-01-26,201.003
755,2020-01-27,217.799
756,2020-01-28,230.663
757,2020-01-29,116.693
758,2020-01-30,70.341
759,2020-01-31,72.878
760,2020-02-01,24.955
761,2020-02-02,50.523
762,2020-02-03,32.695
763,2020-02-04,29.39
764,2020-02-05,40.01
765,2020-02-06,55.296
766,2020-02-07,96.18
767,2020-02-08,85.821
768,2020-02-09,158.982
769,2020-02-10,168.621
770,2020-02-11,231.63
771,2020-02-12,259.204
772,2020-02-13,248.785
773,2020-02-14,72.015
774,2020-02-15,20.852
775,2020-02-16,20.904
776,2020-02-17,22.54
777,2020-02-18,29.608
778,2020-02-19,77.906
779,2020-02-20,145.39
780,2020-02-21,123.353
781,2020-02-22,24.787
782,2020-02-23,55.767
783,2020-02-24,88.962
784,2020-02-25,73.214
785,2020-02-26,54.543
786,2020-02-27,43.891
787,2020-02-28,86.453
788,2020-02-29,115.973
789,2020-03-01,42.358
790,2020-03-02,37.531
791,2020-03-03,35.304
792,2020-03-04,24.104
793,2020-03-05,53.43
794,2020-03-06,113.903
795,2020-03-07,90.995
796,2020-03-08,132.718
797,2020-03-09,70.583
798,2020-03-10,36.242
799,2020-03-11,49.895
800,2020-03-12,45.673
801,2020-03-13,30.844
802,2020-03-14,40.058
803,2020-03-15,36.196
804,2020-03-16,60.946
805,2020-03-17,55.511
806,2020-03-18,102.533
807,2020-03-19,44.582
808,2020-03-20,63.654
809,2020-03-21,71.491
810,2020-03-22,61.43
811,2020-03-23,55.48
812,2020-03-24,67.579
813,2020-03-25,153.753
814,2020-03-26,33.567
815,2020-03-27,27.157
816,2020-03-28,30.498
817,2020-03-29,66.765
818,2020-03-30,92.929
819,2020-03-31,91.556
820,2020-04-01,30.43
821,2020-04-02,39.61
822,2020-04-03,41.344
823,2020-04-04,108.158
824,2020-04-05,70.357
825,2020-04-06,92.847
826,2020-04-07,86.778
827,2020-04-08,56.05
828,2020-04-09,53.138
829,2020-04-10,58.574
830,2020-04-11,46.591
831,2020-04-12,49.902
832,2020-04-13,61.808
833,2020-04-14,94.679
834,2020-04-15,89.317
835,2020-04-16,49.374
836,2020-04-17,45.194
837,2020-04-18,51.835
838,2020-04-20,29.708
839,2020-04-21,37.032
840,2020-04-22,29.683
841,2020-04-23,28.275
