,日期,人数,页数,week
1454,2019-09-24,1189.55,3042,2
1457,2019-09-23,1189.65,3044,1
2301,2019-09-22,721.1,3442,7
1469,2019-09-21,798.06,3048,6
1482,2019-09-20,1258.6,3052,5
1485,2019-09-19,1194.31,3054,4
2306,2019-09-18,1206.73,3443,3
1492,2019-09-17,1207.37,3056,2
1496,2019-09-16,1199.14,3058,1
2309,2019-09-15,748.27,3444,7
2310,2019-09-14,740.93,3444,6
2312,2019-09-13,796.45,3444,5
2313,2019-09-12,1323.4,3445,4
2314,2019-09-11,1223.68,3445,3
1532,2019-09-10,1196.69,3069,2
1535,2019-09-09,1208.71,3071,1
1537,2019-09-08,744.56,3072,7
1540,2019-09-07,812.38,3074,6
1517,2019-09-06,1270.85,3064,5
1547,2019-09-05,1201.06,3078,4
1551,2019-09-04,1203.05,3079,3
1555,2019-09-03,1204.36,3080,2
1557,2019-09-02,1200.63,3082,1
1562,2019-09-01,735.61,3085,7
2326,2019-08-31,831.56,3449,6
1568,2019-08-30,1290.44,3087,5
2328,2019-08-29,1266.64,3450,4
2329,2019-08-28,1275.74,3450,3
2330,2019-08-27,1285.26,3451,2
1581,2019-08-26,1279.44,3095,1
1584,2019-08-25,845.19,3096,7
1587,2019-08-24,940.08,3098,6
1594,2019-08-23,1369.96,3100,5
1596,2019-08-22,1336.28,3101,4
1599,2019-08-21,1354.65,3103,3
1603,2019-08-20,1285.84,3105,2
1606,2019-08-19,1310.19,3108,1
1608,2019-08-18,843.61,3110,7
2341,2019-08-17,933.98,3454,6
1622,2019-08-16,1358.63,3114,5
1626,2019-08-15,1294.52,3115,4
1630,2019-08-14,1320.32,3117,3
1632,2019-08-13,1329.25,3118,2
1637,2019-08-12,1291.5,3120,1
2348,2019-08-11,790.83,3456,7
1644,2019-08-10,873.56,3122,6
1650,2019-08-09,1309.96,3123,5
1654,2019-08-08,1298.09,3125,4
1578,2019-08-07,1346.2,3092,3
1660,2019-08-06,1312.95,3128,2
832,2019-08-05,1280.61,2205,1
835,2019-08-04,788.49,2209,7
1671,2019-08-03,858.63,3132,6
1676,2019-08-02,1303.35,3133,5
1681,2019-08-01,1280.93,3135,4
1686,2019-07-31,1286.25,3136,3
1691,2019-07-30,1298.49,3137,2
1695,2019-07-29,1223.79,3139,1
1697,2019-07-28,760.92,3140,7
1701,2019-07-27,819.76,3141,6
1707,2019-07-26,1308.16,3143,5
1710,2019-07-25,1276.03,3145,4
1712,2019-07-24,1280.9,3146,3
2367,2019-07-23,1298.40,3461,2
1718,2019-07-22,1283.7,3149,1
2369,2019-07-21,795.66,3461,7
2370,2019-07-20,872.197,3462,6
2371,2019-07-19,1339.49,3462,5
2372,2019-07-18,1308.93,3462,4
2373,2019-07-17,1310.91,3462,3
2374,2019-07-16,1323.22,3462,2
2375,2019-07-15,1314.88,3463,1
2377,2019-07-14,824.33,3463,7
2378,2019-07-13,899.07,3463,6
173,2019-07-12,1373.88,447,5
2381,2019-07-11,1331.35,3463,4
2382,2019-07-10,1319.46,3463,3
2383,2019-07-09,1313.94,3464,2
2385,2019-07-08,1316.74,3464,1
2386,2019-07-07,807.17,3464,7
2387,2019-07-06,843.81,3465,6
2388,2019-07-05,1314.88,3465,5
2390,2019-07-04,1262.78,3465,4
2391,2019-07-03,1276.22,3465,3
2392,2019-07-02,1268.34,3466,2
2393,2019-07-01,1279.18,3466,1
2394,2019-06-30,777.77,3466,7
2395,2019-06-29,839.26,3466,6
2396,2019-06-28,1314.08,3466,5
2397,2019-06-27,1256.6,3466,4
2399,2019-06-26,1223.1,3466,3
2400,2019-06-25,1237.29,3467,2
2401,2019-06-24,1240.21,3467,1
2402,2019-06-23,749.14,3467,7
2403,2019-06-22,828.31,3468,6
2404,2019-06-21,1293.37,3468,5
2405,2019-06-20,1239.49,3468,4
2406,2019-06-19,1243.86,3468,3
2407,2019-06-18,1245.06,3468,2
2408,2019-06-17,1251.33,3469,1
2409,2019-06-16,713.45,3469,7
2410,2019-06-15,821.4,3469,6
2411,2019-06-14,1279.85,3469,5
2412,2019-06-13,1221.74,3469,4
2413,2019-06-12,1217.13,3469,3
2415,2019-06-11,1223.79,3470,2
2416,2019-06-10,1219.67,3470,1
2417,2019-06-09,747.48,3471,7
2418,2019-06-08,720.25,3471,6
2419,2019-06-07,789.15,3471,5
2421,2019-06-06,1291.58,3471,4
2422,2019-06-05,1229.20,3471,3
2425,2019-06-03,1215.41,3472,1
2426,2019-06-02,727.14,3473,7
2427,2019-06-01,819.2,3473,6
2428,2019-05-31,1265.06,3473,5
2429,2019-05-29,1223.18,3474,3
2431,2019-05-28,1226.24,3474,2
2432,2019-05-27,1235.21,3474,1
2433,2019-05-26,663.38,3474,7
2434,2019-05-25,841.06,3475,6
2435,2019-05-24,1290.59,3475,5
2436,2019-05-23,1228.43,3475,4
2437,2019-05-22,1237.9,3475,3
2439,2019-05-21,1245.54,3475,2
2440,2019-05-20,1252.41,3476,1
2441,2019-05-19,762.31,3476,7
2442,2019-05-18,818.64,3476,6
2443,2019-05-17,1300.31,3476,5
